Число           NOUN,inan,neut sing,nomn
уникальных      ADJF,Qual plur,gent
посетителей     NOUN,anim,masc plur,gent
сайта           NOUN,inan,masc sing,gent
газеты          NOUN,inan,femn sing,gent
выросло         VERB,perf,intr neut,sing,past,indc
в               PREP
2               NUMB,intg
раза            NOUN,inan,masc sing,gent
—               PNCT
247,5           NUMB,real
тыс             NOUN,inan,femn,Fixd,Abbr plur,gent
.               PNCT
в               PREP
месяц           NOUN,inan,masc sing,accs
.               PNCT
