Проблема        NOUN,inan,femn sing,nomn
также           CONJ
осложняется     VERB,impf,intr sing,3per,pres,indc
тем             ADJF,Apro,Subx,Anph masc,sing,ablt
,               PNCT
что             CONJ
вирус           NOUN,inan,masc sing,nomn
постепенно      ADVB
мутирует        VERB,impf,intr sing,3per,pres,indc
в               PREP
процессе        NOUN,inan,masc sing,loct
взаимодействия  NOUN,inan,neut sing,gent
с               PREP
вирусами        NOUN,inan,masc plur,ablt
обычного        ADJF,Qual masc,sing,gent
гриппа          NOUN,inan,masc sing,gent
.               PNCT
