3               NUMB,intg
.               PNCT
Иностранные     ADJF plur,nomn
граждане        NOUN,anim,masc plur,nomn
и               CONJ
лица            NOUN,anim,neut plur,nomn
без             PREP
гражданства     NOUN,inan,neut sing,gent
,               PNCT
не              PRCL
проживающие     PRTF,impf,intr,pres,actv plur,nomn
постоянно       ADVB
в               PREP
Российской      ADJF femn,sing,loct
Федерации       NOUN,inan,femn sing,loct
,               PNCT
совершившие     PRTF,perf,tran,past,actv plur,nomn
преступление    NOUN,inan,neut sing,accs
вне             PREP
пределов        NOUN,inan,masc plur,gent
Российской      ADJF femn,sing,gent
Федерации       NOUN,inan,femn sing,gent
,               PNCT
подлежат        VERB,impf,intr plur,3per,pres,indc
уголовной       ADJF,Qual femn,sing,datv
ответственности NOUN,inan,femn sing,datv
по              PREP
настоящему      ADJF masc,sing,datv
Кодексу         NOUN,inan,masc sing,datv
в               PREP
случаях         NOUN,inan,masc plur,loct
,               PNCT
если            CONJ
преступление    NOUN,inan,neut sing,nomn
направлено      PRTS,perf,past,pssv neut,sing
против          PREP
интересов       NOUN,inan,masc plur,gent
Российской      ADJF femn,sing,gent
Федерации       NOUN,inan,femn sing,gent
либо            CONJ
гражданина      NOUN,anim,masc sing,gent
Российской      ADJF femn,sing,gent
Федерации       NOUN,inan,femn sing,gent
или             CONJ
постоянно       ADVB
проживающего    PRTF,impf,intr,pres,actv neut,sing,gent
в               PREP
Российской      ADJF femn,sing,loct
Федерации       NOUN,inan,femn sing,loct
лица            NOUN,anim,neut sing,gent
без             PREP
гражданства     NOUN,inan,neut sing,gent
,               PNCT
а               CONJ
также           CONJ
в               PREP
случаях         NOUN,inan,masc plur,loct
,               PNCT
предусмотренных ADJF plur,loct
международным   ADJF masc,sing,ablt
договором       NOUN,inan,masc sing,ablt
Российской      ADJF femn,sing,gent
Федерации       NOUN,inan,femn sing,gent
,               PNCT
если            CONJ
иностранные     ADJF plur,nomn
граждане        NOUN,anim,masc plur,nomn
и               CONJ
лица            NOUN,anim,neut plur,nomn
без             PREP
гражданства     NOUN,inan,neut sing,gent
,               PNCT
не              PRCL
проживающие     PRTF,impf,intr,pres,actv plur,nomn
постоянно       ADVB
в               PREP
Российской      ADJF femn,sing,loct
Федерации       NOUN,inan,femn sing,loct
,               PNCT
не              PRCL
были            VERB,impf,intr plur,past,indc
осуждены        PRTS,perf,past,pssv plur
в               PREP
иностранном     ADJF neut,sing,loct
государстве     NOUN,inan,neut sing,loct
и               CONJ
привлекаются    VERB,impf,intr plur,3per,pres,indc
к               PREP
уголовной       ADJF,Qual femn,sing,datv
ответственности NOUN,inan,femn sing,datv
на              PREP
территории      NOUN,inan,femn sing,loct
Российской      ADJF femn,sing,gent
Федерации       NOUN,inan,femn sing,gent
.               PNCT
