Только          PRCL / CONJ
25              NUMB
декабря         NOUN,inan,masc sing,gent
1934            NUMB
года            NOUN,inan,masc sing,gent / NOUN,inan,masc plur,nomn,Infr / NOUN,inan,masc plur,accs,Infr
улица           NOUN,inan,femn sing,nomn
приняла         VERB,perf,tran femn,sing,past,indc
своё            ADJF,Apro neut,sing,accs / ADJF,Apro neut,sing,nomn
нынешнее        ADJF neut,sing,nomn / ADJF neut,sing,accs / COMP
название        NOUN,inan,neut sing,nomn / NOUN,inan,neut sing,accs
—               PNCT
улица           NOUN,inan,femn sing,nomn
Кирова          NOUN,inan,masc,Geox sing,gent / NOUN,anim,masc,Sgtm,Surn sing,gent / NOUN,anim,masc,Sgtm,Surn sing,accs / NOUN,anim,femn,Sgtm,Surn sing,nomn / NOUN,inan,neut,Sgtm,Geox sing,gent
.               PNCT
